year,city,avg_temp,5-Year MA,year,avg_temp,5-Year MA,,
1743,Ottawa,-2.46,,1743,,,,
1744,Ottawa,6.94,,1744,,,,
1745,Ottawa,-6.59,,1745,,,,
1746,Ottawa,,,1746,,,,
1747,Ottawa,,-0.703333333,1747,,,,
1748,Ottawa,,0.175,1748,,,,
1749,Ottawa,,-6.59,1749,,,,
1750,Ottawa,4.47,4.47,1750,8.72,,,
1751,Ottawa,5.1,4.785,1751,7.98,,,
1752,Ottawa,-3.73,1.946666667,1752,5.78,,,
1753,Ottawa,3.9,2.435,1753,8.39,,,
1754,Ottawa,3.96,2.74,1754,8.47,7.868,,
1755,Ottawa,0.65,1.976,1755,8.36,7.796,,
1756,Ottawa,4.23,1.802,1756,8.85,7.97,,
1757,Ottawa,3.18,3.184,1757,9.02,8.618,,
1758,Ottawa,2.58,2.92,1758,6.74,8.288,,
1759,Ottawa,3.39,2.806,1759,7.99,8.192,,
1760,Ottawa,1.81,3.038,1760,7.19,7.958,,
1761,Ottawa,4.43,3.078,1761,8.77,7.942,,
1762,Ottawa,4.14,3.27,1762,8.61,7.86,,
1763,Ottawa,1.28,3.01,1763,7.5,8.012,,
1764,Ottawa,3.68,3.068,1764,8.4,8.094,,
1765,Ottawa,3.13,3.332,1765,8.25,8.306,,
1766,Ottawa,4.45,3.336,1766,8.41,8.234,,
1767,Ottawa,2.71,3.05,1767,8.22,8.156,,
1768,Ottawa,3.12,3.418,1768,6.78,8.012,,
1769,Ottawa,3.56,3.394,1769,7.69,7.87,,
1770,Ottawa,3.54,3.476,1770,7.69,7.758,,
1771,Ottawa,4.26,3.438,1771,7.85,7.646,,
1772,Ottawa,4.04,3.704,1772,8.19,7.64,,
1773,Ottawa,4.43,3.966,1773,8.22,7.928,,Correlation
1774,Ottawa,3.69,3.992,1774,8.77,8.144,,0.850665805
1775,Ottawa,4.75,4.234,1775,9.18,8.442,,
1776,Ottawa,3.79,4.14,1776,8.3,8.532,,
1777,Ottawa,3.3,3.992,1777,8.26,8.546,,
1778,Ottawa,1.14,3.334,1778,8.54,8.61,,
1779,Ottawa,4.3,3.456,1779,8.98,8.652,,
1780,Ottawa,7.02,3.91,1780,9.43,8.702,,
1781,Ottawa,4.12,3.976,1781,8.1,8.662,,
1782,Ottawa,3.53,4.022,1782,7.9,8.59,,
1783,Ottawa,3.23,4.44,1783,7.68,8.418,,
1784,Ottawa,2.96,4.172,1784,7.86,8.194,,
1785,Ottawa,2.94,3.356,1785,7.36,7.78,,
1786,Ottawa,3.45,3.222,1786,8.26,7.812,,
1787,Ottawa,3.46,3.208,1787,8.03,7.838,,
1788,Ottawa,4.15,3.392,1788,8.45,7.992,,
1789,Ottawa,3.83,3.566,1789,8.33,8.086,,
1790,Ottawa,3.78,3.734,1790,7.98,8.21,,
1791,Ottawa,3.78,3.8,1791,8.23,8.204,,
1792,Ottawa,3.19,3.746,1792,8.09,8.216,,
1793,Ottawa,4.25,3.766,1793,8.23,8.172,,
1794,Ottawa,4.25,3.85,1794,8.53,8.212,,
1795,Ottawa,3.68,3.83,1795,8.35,8.286,,
1796,Ottawa,3.56,3.786,1796,8.27,8.294,,
1797,Ottawa,3.31,3.81,1797,8.51,8.378,,
1798,Ottawa,4.03,3.766,1798,8.67,8.466,,
1799,Ottawa,3.59,3.634,1799,8.51,8.462,,
1800,Ottawa,4.09,3.716,1800,8.48,8.488,,
1801,Ottawa,4.49,3.902,1801,8.59,8.552,,
1802,Ottawa,4.7,4.18,1802,8.58,8.566,,
1803,Ottawa,4.35,4.244,1803,8.5,8.532,,
1804,Ottawa,4.08,4.342,1804,8.84,8.598,,
1805,Ottawa,4.69,4.462,1805,8.56,8.614,,
1806,Ottawa,3.73,4.31,1806,8.43,8.582,,
1807,Ottawa,3.55,4.08,1807,8.28,8.522,,
